Year,Week,Age,Value_Covid,Value_Covid_total
2023,44,00-04,0,51
2023,44,05-14,0,40
2023,44,15-34,1,482
2023,44,35-59,9,8529
2023,44,60-79,69,52892
2023,44,80+,162,114940
2023,45,00+,373,177319
2023,45,00-04,0,51
2023,45,05-14,0,40
2023,45,15-34,1,483
2023,45,35-59,12,8541
2023,45,60-79,120,53012
2023,45,80+,240,115180
2023,46,00+,376,177695
2023,46,00-04,0,51
2023,46,05-14,1,41
2023,46,15-34,1,484
2023,46,35-59,8,8549
2023,46,60-79,91,53103
2023,46,80+,275,115455
2023,47,00+,347,178042
2023,47,00-04,0,51
2023,47,05-14,0,41
2023,47,15-34,1,485
2023,47,35-59,14,8563
2023,47,60-79,107,53210
2023,47,80+,225,115680
2023,48,00+,363,178405
2023,48,00-04,1,52
2023,48,05-14,0,41
2023,48,15-34,3,488
2023,48,35-59,9,8572
2023,48,60-79,119,53329
2023,48,80+,231,115911
2023,49,00+,422,178827
2023,49,00-04,1,53
2023,49,05-14,0,41
2023,49,15-34,0,488
2023,49,35-59,9,8581
2023,49,60-79,132,53461
2023,49,80+,280,116191
2023,50,00+,438,179265
2023,50,00-04,1,54
2023,50,05-14,0,41
2023,50,15-34,0,488
2023,50,35-59,11,8592
2023,50,60-79,127,53588
2023,50,80+,299,116490
2023,51,00+,564,179829
2023,51,00-04,0,54
2023,51,05-14,0,41
2023,51,15-34,3,491
2023,51,35-59,23,8615
2023,51,60-79,193,53781
2023,51,80+,345,116835
2023,52,00+,253,180082
2023,52,00-04,0,54
2023,52,05-14,0,41
2023,52,15-34,1,492
2023,52,35-59,15,8630
2023,52,60-79,80,53861
2023,52,80+,157,116992
2024,1,00+,479,180561
2024,1,00-04,1,55
2024,1,05-14,1,42
2024,1,15-34,1,493
2024,1,35-59,19,8649
2024,1,60-79,162,54023
2024,1,80+,294,117286
2024,2,00+,460,181021
2024,2,00-04,1,56
2024,2,05-14,0,42
2024,2,15-34,0,493
2024,2,35-59,12,8661
2024,2,60-79,145,54168
2024,2,80+,302,117588
2024,3,00+,377,181398
2024,3,00-04,1,57
2024,3,05-14,0,42
2024,3,15-34,1,494
2024,3,35-59,16,8677
2024,3,60-79,123,54291
2024,3,80+,236,117824
2024,4,00+,274,181672
2024,4,00-04,0,57
2024,4,05-14,1,43
2024,4,15-34,0,494
2024,4,35-59,9,8686
2024,4,60-79,87,54378
2024,4,80+,177,118001
2024,5,00+,259,181931
2024,5,00-04,0,57
2024,5,05-14,0,43
2024,5,15-34,0,494
2024,5,35-59,12,8698
2024,5,60-79,77,54455
2024,5,80+,170,118171
2024,6,00+,258,182189
2024,6,00-04,0,57
2024,6,05-14,0,43
2024,6,15-34,0,494
2024,6,35-59,9,8707
2024,6,60-79,80,54535
2024,6,80+,169,118340
2024,7,00+,160,182349
2024,7,00-04,0,57
2024,7,05-14,1,44
2024,7,15-34,0,494
2024,7,35-59,5,8712
2024,7,60-79,50,54585
2024,7,80+,104,118444
2024,8,00+,165,182514
2024,8,00-04,0,57
2024,8,05-14,0,44
2024,8,15-34,0,494
2024,8,35-59,10,8722
2024,8,60-79,63,54648
2024,8,80+,92,118536
2024,9,00+,107,182621
2024,9,00-04,0,57
2024,9,05-14,1,45
2024,9,15-34,0,494
2024,9,35-59,5,8727
2024,9,60-79,29,54677
2024,9,80+,72,118608
2024,10,00+,86,182707
2024,10,00-04,0,57
2024,10,05-14,0,45
2024,10,15-34,0,494
2024,10,35-59,5,8732
2024,10,60-79,24,54701
2024,10,80+,57,118665
2024,11,00+,94,182801
2024,11,00-04,0,57
2024,11,05-14,0,45
2024,11,15-34,0,494
2024,11,35-59,4,8736
2024,11,60-79,32,54733
2024,11,80+,58,118723
2024,12,00+,64,182865
2024,12,00-04,0,57
2024,12,05-14,0,45
2024,12,15-34,0,494
2024,12,35-59,4,8740
2024,12,60-79,21,54754
2024,12,80+,39,118762
2024,13,00+,50,182915
2024,13,00-04,0,57
2024,13,05-14,0,45
2024,13,15-34,0,494
2024,13,35-59,3,8743
2024,13,60-79,17,54771
2024,13,80+,30,118792
2024,14,00+,66,182981
2024,14,00-04,0,57
2024,14,05-14,0,45
2024,14,15-34,0,494
2024,14,35-59,6,8749
2024,14,60-79,20,54791
2024,14,80+,40,118832
