Year,Week,Age,Value
2015,15,75-79,2635.0
2015,15,80-84,2999.0
2015,15,85-89,3463.0
2015,15,90-94,2542.0
2015,15,95+,769.0
2015,15,Insgesamt,18089.0
2015,16,0-29,130.0
2015,16,30-34,63.0
2015,16,35-39,65.0
2015,16,40-44,128.0
2015,16,45-49,248.0
2015,16,50-54,466.0
2015,16,55-59,687.0
2015,16,60-64,980.0
2015,16,65-69,1089.0
2015,16,70-74,1716.0
2015,16,75-79,2817.0
2015,16,80-84,2975.0
2015,16,85-89,3491.0
2015,16,90-94,2449.0
2015,16,95+,812.0
2015,16,Insgesamt,18116.0
2015,17,0-29,188.0
2015,17,30-34,58.0
2015,17,35-39,58.0
2015,17,40-44,116.0
2015,17,45-49,258.0
2015,17,50-54,455.0
2015,17,55-59,719.0
2015,17,60-64,878.0
2015,17,65-69,1100.0
2015,17,70-74,1686.0
2015,17,75-79,2644.0
2015,17,80-84,2973.0
2015,17,85-89,3351.0
2015,17,90-94,2419.0
2015,17,95+,765.0
2015,17,Insgesamt,17668.0
2015,18,0-29,149.0
2015,18,30-34,61.0
2015,18,35-39,69.0
2015,18,40-44,105.0
2015,18,45-49,239.0
2015,18,50-54,428.0
2015,18,55-59,637.0
2015,18,60-64,863.0
2015,18,65-69,1064.0
2015,18,70-74,1692.0
2015,18,75-79,2664.0
2015,18,80-84,2886.0
2015,18,85-89,3258.0
2015,18,90-94,2318.0
2015,18,95+,681.0
2015,18,Insgesamt,17114.0
2015,19,0-29,148.0
2015,19,30-34,57.0
2015,19,35-39,55.0
2015,19,40-44,102.0
2015,19,45-49,259.0
2015,19,50-54,470.0
2015,19,55-59,715.0
2015,19,60-64,902.0
2015,19,65-69,1048.0
2015,19,70-74,1660.0
2015,19,75-79,2624.0
2015,19,80-84,2736.0
2015,19,85-89,3247.0
2015,19,90-94,2385.0
2015,19,95+,664.0
2015,19,Insgesamt,17072.0
2015,20,0-29,163.0
2015,20,30-34,57.0
2015,20,35-39,78.0
2015,20,40-44,156.0
2015,20,45-49,242.0
2015,20,50-54,446.0
2015,20,55-59,686.0
2015,20,60-64,925.0
2015,20,65-69,1039.0
2015,20,70-74,1699.0
2015,20,75-79,2494.0
2015,20,80-84,2780.0
2015,20,85-89,3076.0
2015,20,90-94,2174.0
2015,20,95+,717.0
2015,20,Insgesamt,16732.0
2015,21,0-29,147.0
2015,21,30-34,46.0
2015,21,35-39,56.0
2015,21,40-44,114.0
2015,21,45-49,252.0
2015,21,50-54,464.0
2015,21,55-59,662.0
2015,21,60-64,870.0
2015,21,65-69,992.0
2015,21,70-74,1574.0
2015,21,75-79,2568.0
2015,21,80-84,2703.0
2015,21,85-89,3096.0
2015,21,90-94,2124.0
2015,21,95+,662.0
2015,21,Insgesamt,16330.0
2015,22,0-29,140.0
2015,22,30-34,47.0
2015,22,35-39,59.0
2015,22,40-44,102.0
2015,22,45-49,256.0
2015,22,50-54,470.0
2015,22,55-59,669.0
2015,22,60-64,871.0
2015,22,65-69,918.0
2015,22,70-74,1619.0
2015,22,75-79,2613.0
2015,22,80-84,2648.0
2015,22,85-89,2942.0
2015,22,90-94,2194.0
2015,22,95+,652.0
2015,22,Insgesamt,16200.0
2015,23,0-29,157.0
2015,23,30-34,62.0
2015,23,35-39,63.0
2015,23,40-44,124.0
2015,23,45-49,254.0
2015,23,50-54,463.0
2015,23,55-59,675.0
2015,23,60-64,960.0
2015,23,65-69,1016.0
2015,23,70-74,1577.0
2015,23,75-79,2609.0
2015,23,80-84,2769.0
2015,23,85-89,3182.0
2015,23,90-94,2189.0
2015,23,95+,677.0
2015,23,Insgesamt,16777.0
2015,24,0-29,161.0
2015,24,30-34,48.0
2015,24,35-39,61.0
2015,24,40-44,124.0
2015,24,45-49,262.0
2015,24,50-54,469.0
2015,24,55-59,650.0
2015,24,60-64,894.0
2015,24,65-69,1070.0
2015,24,70-74,1586.0
2015,24,75-79,2483.0
2015,24,80-84,2627.0
2015,24,85-89,2968.0
2015,24,90-94,2182.0
2015,24,95+,687.0
2015,24,Insgesamt,16272.0
2015,25,0-29,156.0
2015,25,30-34,53.0
2015,25,35-39,58.0
2015,25,40-44,97.0
2015,25,45-49,247.0
2015,25,50-54,482.0
2015,25,55-59,629.0
2015,25,60-64,874.0
2015,25,65-69,1060.0
2015,25,70-74,1501.0
2015,25,75-79,2345.0
2015,25,80-84,2649.0
2015,25,85-89,2855.0
2015,25,90-94,1998.0
2015,25,95+,615.0
2015,25,Insgesamt,15619.0
2015,26,0-29,164.0
2015,26,30-34,54.0
2015,26,35-39,81.0
2015,26,40-44,115.0
2015,26,45-49,281.0
2015,26,50-54,429.0
2015,26,55-59,600.0
2015,26,60-64,903.0
2015,26,65-69,1066.0
2015,26,70-74,1649.0
2015,26,75-79,2495.0
2015,26,80-84,2714.0
2015,26,85-89,2879.0
2015,26,90-94,2043.0
2015,26,95+,679.0
2015,26,Insgesamt,16152.0
2015,27,0-29,177.0
2015,27,30-34,56.0
2015,27,35-39,81.0
2015,27,40-44,131.0
2015,27,45-49,302.0
2015,27,50-54,510.0
2015,27,55-59,712.0
2015,27,60-64,1039.0
2015,27,65-69,1189.0
2015,27,70-74,1780.0
2015,27,75-79,2861.0
2015,27,80-84,3299.0
2015,27,85-89,3693.0
2015,27,90-94,2603.0
2015,27,95+,819.0
2015,27,Insgesamt,19252.0
2015,28,0-29,160.0
2015,28,30-34,58.0
2015,28,35-39,72.0
2015,28,40-44,122.0
2015,28,45-49,243.0
2015,28,50-54,500.0
2015,28,55-59,694.0
2015,28,60-64,871.0
