Datum,Altersgruppe,Todesfaelle
2015-W23,90-94,2189
2015-W23,95+,677
2015-W23,Insgesamt,16777
2015-W24,0-29,161
2015-W24,30-34,48
2015-W24,35-39,61
2015-W24,40-44,124
2015-W24,45-49,262
2015-W24,50-54,469
2015-W24,55-59,650
2015-W24,60-64,894
2015-W24,65-69,1070
2015-W24,70-74,1586
2015-W24,75-79,2483
2015-W24,80-84,2627
2015-W24,85-89,2968
2015-W24,90-94,2182
2015-W24,95+,687
2015-W24,Insgesamt,16272
2015-W25,0-29,156
2015-W25,30-34,53
2015-W25,35-39,58
2015-W25,40-44,97
2015-W25,45-49,247
2015-W25,50-54,482
2015-W25,55-59,629
2015-W25,60-64,874
2015-W25,65-69,1060
2015-W25,70-74,1501
2015-W25,75-79,2345
2015-W25,80-84,2649
2015-W25,85-89,2855
2015-W25,90-94,1998
2015-W25,95+,615
2015-W25,Insgesamt,15619
2015-W26,0-29,164
2015-W26,30-34,54
2015-W26,35-39,81
2015-W26,40-44,115
2015-W26,45-49,281
2015-W26,50-54,429
2015-W26,55-59,600
2015-W26,60-64,903
2015-W26,65-69,1066
2015-W26,70-74,1649
2015-W26,75-79,2495
2015-W26,80-84,2714
2015-W26,85-89,2879
2015-W26,90-94,2043
2015-W26,95+,679
2015-W26,Insgesamt,16152
2015-W27,0-29,177
2015-W27,30-34,56
2015-W27,35-39,81
2015-W27,40-44,131
2015-W27,45-49,302
2015-W27,50-54,510
2015-W27,55-59,712
2015-W27,60-64,1039
2015-W27,65-69,1189
2015-W27,70-74,1780
2015-W27,75-79,2861
2015-W27,80-84,3299
2015-W27,85-89,3693
2015-W27,90-94,2603
2015-W27,95+,819
2015-W27,Insgesamt,19252
2015-W28,0-29,160
2015-W28,30-34,58
2015-W28,35-39,72
2015-W28,40-44,122
2015-W28,45-49,243
2015-W28,50-54,500
2015-W28,55-59,694
2015-W28,60-64,871
2015-W28,65-69,1065
2015-W28,70-74,1773
2015-W28,75-79,2620
2015-W28,80-84,2862
2015-W28,85-89,3275
2015-W28,90-94,2338
2015-W28,95+,708
2015-W28,Insgesamt,17361
2015-W29,0-29,141
2015-W29,30-34,56
2015-W29,35-39,66
2015-W29,40-44,109
2015-W29,45-49,249
2015-W29,50-54,485
2015-W29,55-59,691
2015-W29,60-64,889
2015-W29,65-69,994
2015-W29,70-74,1611
2015-W29,75-79,2533
2015-W29,80-84,2741
2015-W29,85-89,2993
2015-W29,90-94,2154
2015-W29,95+,735
2015-W29,Insgesamt,16447
2015-W3,0-29,139
2015-W3,30-34,56
2015-W3,35-39,80
2015-W3,40-44,131
2015-W3,45-49,275
2015-W3,50-54,443
2015-W3,55-59,658
2015-W3,60-64,964
2015-W3,65-69,1065
2015-W3,70-74,1884
2015-W3,75-79,2997
2015-W3,80-84,3313
2015-W3,85-89,3781
2015-W3,90-94,2844
2015-W3,95+,870
2015-W3,Insgesamt,19500
2015-W30,0-29,147
2015-W30,30-34,53
2015-W30,35-39,68
2015-W30,40-44,112
2015-W30,45-49,262
2015-W30,50-54,427
2015-W30,55-59,615
2015-W30,60-64,902
2015-W30,65-69,1000
2015-W30,70-74,1593
2015-W30,75-79,2526
2015-W30,80-84,2788
2015-W30,85-89,2960
2015-W30,90-94,2095
2015-W30,95+,724
2015-W30,Insgesamt,16272
2015-W31,0-29,157
2015-W31,30-34,41
2015-W31,35-39,72
2015-W31,40-44,114
2015-W31,45-49,215
2015-W31,50-54,405
2015-W31,55-59,632
2015-W31,60-64,819
2015-W31,65-69,1012
2015-W31,70-74,1522
2015-W31,75-79,2380
2015-W31,80-84,2667
2015-W31,85-89,2762
2015-W31,90-94,1976
2015-W31,95+,658
2015-W31,Insgesamt,15432
2015-W32,0-29,149
2015-W32,30-34,50
2015-W32,35-39,73
2015-W32,40-44,109
2015-W32,45-49,245
2015-W32,50-54,447
2015-W32,55-59,661
2015-W32,60-64,942
2015-W32,65-69,1091
2015-W32,70-74,1523
2015-W32,75-79,2591
2015-W32,80-84,2767
2015-W32,85-89,3083
2015-W32,90-94,2179
2015-W32,95+,741
2015-W32,Insgesamt,16651
2015-W33,0-29,163
2015-W33,30-34,58
2015-W33,35-39,58
2015-W33,40-44,115
2015-W33,45-49,232
2015-W33,50-54,462
2015-W33,55-59,626
2015-W33,60-64,882
2015-W33,65-69,1082
2015-W33,70-74,1562
2015-W33,75-79,2598
2015-W33,80-84,2894
2015-W33,85-89,3178
2015-W33,90-94,2223
2015-W33,95+,748
2015-W33,Insgesamt,16881
2015-W34,0-29,157
2015-W34,30-34,54
2015-W34,35-39,76
2015-W34,40-44,113
2015-W34,45-49,255
2015-W34,50-54,449
2015-W34,55-59,638
2015-W34,60-64,859
2015-W34,65-69,975
2015-W34,70-74,1423
2015-W34,75-79,2286
2015-W34,80-84,2571
2015-W34,85-89,2818
2015-W34,90-94,1908
2015-W34,95+,651
2015-W34,Insgesamt,15233
2015-W35,0-29,156
2015-W35,30-34,54
2015-W35,35-39,66
2015-W35,40-44,99
2015-W35,45-49,224
2015-W35,50-54,452
2015-W35,55-59,593
2015-W35,60-64,839
2015-W35,65-69,1018
2015-W35,70-74,1586
2015-W35,75-79,2450
2015-W35,80-84,2696
2015-W35,85-89,3066
2015-W35,90-94,2104
2015-W35,95+,714
2015-W35,Insgesamt,16117
2015-W36,0-29,124
2015-W36,30-34,50
2015-W36,35-39,65
2015-W36,40-44,103
2015-W36,45-49,229
2015-W36,50-54,430
2015-W36,55-59,653
2015-W36,60-64,857
2015-W36,65-69,1019
2015-W36,70-74,1482
2015-W36,75-79,2393
2015-W36,80-84,2672
2015-W36,85-89,2918
2015-W36,90-94,1989
2015-W36,95+,670
2015-W36,Insgesamt,15654
2015-W37,0-29,147
2015-W37,30-34,57
2015-W37,35-39,84
2015-W37,40-44,127
2015-W37,45-49,244
2015-W37,50-54,455
2015-W37,55-59,639
2015-W37,60-64,864
2015-W37,65-69,1052
2015-W37,70-74,1532
2015-W37,75-79,2435
2015-W37,80-84,2652
2015-W37,85-89,2917
2015-W37,90-94,2094
2015-W37,95+,653
2015-W37,Insgesamt,15952
2015-W38,0-29,150
2015-W38,30-34,55
2015-W38,35-39,67
2015-W38,40-44,106
2015-W38,45-49,232
2015-W38,50-54,470
2015-W38,55-59,632
2015-W38,60-64,879
2015-W38,65-69,1009
2015-W38,70-74,1522
2015-W38,75-79,2412
2015-W38,80-84,2693
2015-W38,85-89,2952
2015-W38,90-94,2131
2015-W38,95+,724
2015-W38,Insgesamt,16034
2015-W39,0-29,157
2015-W39,30-34,51
2015-W39,35-39,66
2015-W39,40-44,97
2015-W39,45-49,216
2015-W39,50-54,459
2015-W39,55-59,615
2015-W39,60-64,801
2015-W39,65-69,964
2015-W39,70-74,1558
2015-W39,75-79,2369
2015-W39,80-84,2778
2015-W39,85-89,2877
2015-W39,90-94,1985
2015-W39,95+,674
2015-W39,Insgesamt,15667
2015-W4,0-29,146
2015-W4,30-34,44
2015-W4,35-39,65
2015-W4,40-44,124
2015-W4,45-49,273
2015-W4,50-54,454
2015-W4,55-59,703
2015-W4,60-64,954
2015-W4,65-69,1108
2015-W4,70-74,1871
2015-W4,75-79,2913
2015-W4,80-84,3277
2015-W4,85-89,3779
2015-W4,90-94,2750
2015-W4,95+,885
2015-W4,Insgesamt,19346
2015-W40,0-29,123
2015-W40,30-34,45
2015-W40,35-39,66
2015-W40,40-44,133
2015-W40,45-49,265
2015-W40,50-54,458
2015-W40,55-59,705
2015-W40,60-64,879
2015-W40,65-69,1071
2015-W40,70-74,1558
2015-W40,75-79,2489
2015-W40,80-84,2692
2015-W40,85-89,3120
2015-W40,90-94,2151
2015-W40,95+,674
2015-W40,Insgesamt,16429
2015-W41,0-29,157
2015-W41,30-34,55
2015-W41,35-39,87
2015-W41,40-44,96
2015-W41,45-49,239
2015-W41,50-54,428
2015-W41,55-59,662
2015-W41,60-64,947
2015-W41,65-69,1095
2015-W41,70-74,1504
2015-W41,75-79,2614
2015-W41,80-84,2826
2015-W41,85-89,3169
2015-W41,90-94,2132
2015-W41,95+,765
2015-W41,Insgesamt,16776
2015-W42,0-29,165
2015-W42,30-34,58
2015-W42,35-39,59
2015-W42,40-44,131
2015-W42,45-49,250
2015-W42,50-54,452
2015-W42,55-59,651
2015-W42,60-64,833
2015-W42,65-69,1139
2015-W42,70-74,1516
2015-W42,75-79,2587
2015-W42,80-84,2868
2015-W42,85-89,3166
2015-W42,90-94,2268
2015-W42,95+,705
2015-W42,Insgesamt,16848
2015-W43,0-29,152
2015-W43,30-34,54
2015-W43,35-39,85
2015-W43,40-44,106
2015-W43,45-49,234
2015-W43,50-54,455
2015-W43,55-59,689
2015-W43,60-64,925
2015-W43,65-69,1090
2015-W43,70-74,1586
2015-W43,75-79,2592
2015-W43,80-84,3007
2015-W43,85-89,3174
2015-W43,90-94,2421
2015-W43,95+,771
2015-W43,Insgesamt,17341
2015-W44,0-29,159
2015-W44,30-34,50
2015-W44,35-39,71
2015-W44,40-44,110
2015-W44,45-49,251
2015-W44,50-54,464
2015-W44,55-59,634
2015-W44,60-64,918
2015-W44,65-69,1071
2015-W44,70-74,1505
2015-W44,75-79,2557
2015-W44,80-84,2810
2015-W44,85-89,3185
2015-W44,90-94,2262
2015-W44,95+,748
2015-W44,Insgesamt,16795
2015-W45,0-29,150
2015-W45,30-34,56
2015-W45,35-39,80
2015-W45,40-44,85
2015-W45,45-49,221
2015-W45,50-54,440
2015-W45,55-59,677
2015-W45,60-64,867
2015-W45,65-69,1068
2015-W45,70-74,1583
2015-W45,75-79,2705
2015-W45,80-84,2903
2015-W45,85-89,3116
2015-W45,90-94,2303
2015-W45,95+,770
2015-W45,Insgesamt,17024
2015-W46,0-29,159
2015-W46,30-34,46
2015-W46,35-39,71
2015-W46,40-44,116
2015-W46,45-49,250
2015-W46,50-54,440
2015-W46,55-59,656
2015-W46,60-64,817
2015-W46,65-69,1035
2015-W46,70-74,1565
2015-W46,75-79,2509
2015-W46,80-84,2883
2015-W46,85-89,3121
2015-W46,90-94,2232
2015-W46,95+,718
2015-W46,Insgesamt,16618
2015-W47,0-29,154
2015-W47,30-34,49
2015-W47,35-39,57
2015-W47,40-44,84
2015-W47,45-49,202
2015-W47,50-54,447
2015-W47,55-59,665
2015-W47,60-64,860
2015-W47,65-69,1088
2015-W47,70-74,1615
2015-W47,75-79,2607
2015-W47,80-84,2815
2015-W47,85-89,3175
2015-W47,90-94,2249
2015-W47,95+,782
2015-W47,Insgesamt,16849
2015-W48,0-29,138
2015-W48,30-34,58
2015-W48,35-39,74
2015-W48,40-44,125
2015-W48,45-49,250
2015-W48,50-54,455
2015-W48,55-59,640
2015-W48,60-64,890
2015-W48,65-69,1077
2015-W48,70-74,1530
2015-W48,75-79,2627
2015-W48,80-84,2857
2015-W48,85-89,3135
2015-W48,90-94,2254
2015-W48,95+,692
2015-W48,Insgesamt,16802
2015-W49,0-29,154
2015-W49,30-34,56
2015-W49,35-39,83
2015-W49,40-44,97
2015-W49,45-49,262
2015-W49,50-54,414
2015-W49,55-59,663
2015-W49,60-64,873
2015-W49,65-69,1078
2015-W49,70-74,1518
2015-W49,75-79,2706
2015-W49,80-84,2887
2015-W49,85-89,3194
2015-W49,90-94,2279
2015-W49,95+,745
2015-W49,Insgesamt,17009
2015-W5,0-29,150
2015-W5,30-34,59
2015-W5,35-39,65
2015-W5,40-44,119
2015-W5,45-49,296
2015-W5,50-54,509
2015-W5,55-59,706
2015-W5,60-64,1012
2015-W5,65-69,1173
2015-W5,70-74,1989
2015-W5,75-79,3054
2015-W5,80-84,3479
2015-W5,85-89,4063
2015-W5,90-94,3086
2015-W5,95+,956
2015-W5,Insgesamt,20716
2015-W50,0-29,148
2015-W50,30-34,38
2015-W50,35-39,69
2015-W50,40-44,108
2015-W50,45-49,239
2015-W50,50-54,460
2015-W50,55-59,669
2015-W50,60-64,885
2015-W50,65-69,1163
2015-W50,70-74,1528
2015-W50,75-79,2574
2015-W50,80-84,2931
2015-W50,85-89,3181
2015-W50,90-94,2304
2015-W50,95+,757
2015-W50,Insgesamt,17054
2015-W51,0-29,160
2015-W51,30-34,49
2015-W51,35-39,73
2015-W51,40-44,102
2015-W51,45-49,259
