Datum,Altersgruppe,Todesfaelle
2016-W24,0-29,144
2016-W24,30-34,40
2016-W24,35-39,68
2016-W24,40-44,91
2016-W24,45-49,215
2016-W24,50-54,434
2016-W24,55-59,620
2016-W24,60-64,841
2016-W24,65-69,1037
2016-W24,70-74,1420
2016-W24,75-79,2476
2016-W24,80-84,2664
2016-W24,85-89,2870
2016-W24,90-94,2039
2016-W24,95+,758
2016-W24,Insgesamt,15717
2016-W25,0-29,138
2016-W25,30-34,50
2016-W25,35-39,79
2016-W25,40-44,117
2016-W25,45-49,244
2016-W25,50-54,482
2016-W25,55-59,699
2016-W25,60-64,964
2016-W25,65-69,1164
2016-W25,70-74,1532
2016-W25,75-79,2587
2016-W25,80-84,2845
2016-W25,85-89,3121
2016-W25,90-94,2100
2016-W25,95+,788
2016-W25,Insgesamt,16910
2016-W26,0-29,169
2016-W26,30-34,57
2016-W26,35-39,66
2016-W26,40-44,96
2016-W26,45-49,242
2016-W26,50-54,374
2016-W26,55-59,639
2016-W26,60-64,830
2016-W26,65-69,1077
2016-W26,70-74,1385
2016-W26,75-79,2424
2016-W26,80-84,2743
2016-W26,85-89,2835
2016-W26,90-94,2042
2016-W26,95+,720
2016-W26,Insgesamt,15699
2016-W27,0-29,166
2016-W27,30-34,44
2016-W27,35-39,73
2016-W27,40-44,123
2016-W27,45-49,262
2016-W27,50-54,451
2016-W27,55-59,685
2016-W27,60-64,902
2016-W27,65-69,1092
2016-W27,70-74,1420
2016-W27,75-79,2523
2016-W27,80-84,2684
2016-W27,85-89,2931
2016-W27,90-94,2118
2016-W27,95+,755
2016-W27,Insgesamt,16229
2016-W28,0-29,155
2016-W28,30-34,47
2016-W28,35-39,74
2016-W28,40-44,89
2016-W28,45-49,236
2016-W28,50-54,417
2016-W28,55-59,652
2016-W28,60-64,888
2016-W28,65-69,1070
2016-W28,70-74,1399
2016-W28,75-79,2438
2016-W28,80-84,2810
2016-W28,85-89,3051
2016-W28,90-94,2062
2016-W28,95+,784
2016-W28,Insgesamt,16172
2016-W29,0-29,177
2016-W29,30-34,52
2016-W29,35-39,65
2016-W29,40-44,104
2016-W29,45-49,266
2016-W29,50-54,447
2016-W29,55-59,684
2016-W29,60-64,898
2016-W29,65-69,1199
2016-W29,70-74,1500
2016-W29,75-79,2513
2016-W29,80-84,2884
2016-W29,85-89,3118
2016-W29,90-94,2265
2016-W29,95+,813
2016-W29,Insgesamt,16985
2016-W3,0-29,125
2016-W3,30-34,57
2016-W3,35-39,72
2016-W3,40-44,114
2016-W3,45-49,254
2016-W3,50-54,475
2016-W3,55-59,683
2016-W3,60-64,913
2016-W3,65-69,1230
2016-W3,70-74,1653
2016-W3,75-79,2843
2016-W3,80-84,3143
2016-W3,85-89,3563
2016-W3,90-94,2629
2016-W3,95+,873
2016-W3,Insgesamt,18627
2016-W30,0-29,154
2016-W30,30-34,58
2016-W30,35-39,78
2016-W30,40-44,101
2016-W30,45-49,240
2016-W30,50-54,432
2016-W30,55-59,605
2016-W30,60-64,868
2016-W30,65-69,1140
2016-W30,70-74,1429
2016-W30,75-79,2424
2016-W30,80-84,2745
2016-W30,85-89,3003
2016-W30,90-94,2112
2016-W30,95+,768
2016-W30,Insgesamt,16157
2016-W31,0-29,156
2016-W31,30-34,50
2016-W31,35-39,63
2016-W31,40-44,101
2016-W31,45-49,228
2016-W31,50-54,413
2016-W31,55-59,609
2016-W31,60-64,781
2016-W31,65-69,1058
2016-W31,70-74,1376
2016-W31,75-79,2323
2016-W31,80-84,2659
2016-W31,85-89,2904
2016-W31,90-94,1942
2016-W31,95+,776
2016-W31,Insgesamt,15439
2016-W32,0-29,138
2016-W32,30-34,59
2016-W32,35-39,74
2016-W32,40-44,92
2016-W32,45-49,219
2016-W32,50-54,435
2016-W32,55-59,644
2016-W32,60-64,851
2016-W32,65-69,1141
2016-W32,70-74,1347
2016-W32,75-79,2365
2016-W32,80-84,2561
2016-W32,85-89,2809
2016-W32,90-94,2006
2016-W32,95+,746
2016-W32,Insgesamt,15487
2016-W33,0-29,138
2016-W33,30-34,60
2016-W33,35-39,70
2016-W33,40-44,102
2016-W33,45-49,251
2016-W33,50-54,400
2016-W33,55-59,676
2016-W33,60-64,893
2016-W33,65-69,1115
2016-W33,70-74,1357
2016-W33,75-79,2440
2016-W33,80-84,2804
2016-W33,85-89,2998
2016-W33,90-94,2163
2016-W33,95+,791
2016-W33,Insgesamt,16258
2016-W34,0-29,165
2016-W34,30-34,53
2016-W34,35-39,71
2016-W34,40-44,125
2016-W34,45-49,221
2016-W34,50-54,439
2016-W34,55-59,647
2016-W34,60-64,933
2016-W34,65-69,1145
2016-W34,70-74,1418
2016-W34,75-79,2633
2016-W34,80-84,2996
2016-W34,85-89,3263
2016-W34,90-94,2211
2016-W34,95+,827
2016-W34,Insgesamt,17147
2016-W35,0-29,176
2016-W35,30-34,41
2016-W35,35-39,64
2016-W35,40-44,110
2016-W35,45-49,221
2016-W35,50-54,443
2016-W35,55-59,625
2016-W35,60-64,858
2016-W35,65-69,1121
2016-W35,70-74,1431
2016-W35,75-79,2506
2016-W35,80-84,2812
2016-W35,85-89,2809
2016-W35,90-94,2094
2016-W35,95+,790
2016-W35,Insgesamt,16101
2016-W36,0-29,161
2016-W36,30-34,52
2016-W36,35-39,74
2016-W36,40-44,108
2016-W36,45-49,242
2016-W36,50-54,448
2016-W36,55-59,644
2016-W36,60-64,850
2016-W36,65-69,1092
2016-W36,70-74,1336
2016-W36,75-79,2425
2016-W36,80-84,2766
2016-W36,85-89,3074
2016-W36,90-94,2057
2016-W36,95+,787
2016-W36,Insgesamt,16116
2016-W37,0-29,166
2016-W37,30-34,46
2016-W37,35-39,79
2016-W37,40-44,114
2016-W37,45-49,246
2016-W37,50-54,402
2016-W37,55-59,662
2016-W37,60-64,856
2016-W37,65-69,1130
2016-W37,70-74,1360
2016-W37,75-79,2467
2016-W37,80-84,2812
2016-W37,85-89,3130
2016-W37,90-94,2118
2016-W37,95+,784
2016-W37,Insgesamt,16372
2016-W38,0-29,153
2016-W38,30-34,45
2016-W38,35-39,65
2016-W38,40-44,104
2016-W38,45-49,235
2016-W38,50-54,385
2016-W38,55-59,626
2016-W38,60-64,801
2016-W38,65-69,1109
2016-W38,70-74,1373
2016-W38,75-79,2357
2016-W38,80-84,2611
2016-W38,85-89,2850
2016-W38,90-94,2135
2016-W38,95+,757
2016-W38,Insgesamt,15606
2016-W39,0-29,161
2016-W39,30-34,48
2016-W39,35-39,56
2016-W39,40-44,120
2016-W39,45-49,235
2016-W39,50-54,419
2016-W39,55-59,689
2016-W39,60-64,843
2016-W39,65-69,1138
2016-W39,70-74,1337
2016-W39,75-79,2507
2016-W39,80-84,2777
2016-W39,85-89,3099
2016-W39,90-94,2137
2016-W39,95+,770
2016-W39,Insgesamt,16336
2016-W4,0-29,160
2016-W4,30-34,58
2016-W4,35-39,68
2016-W4,40-44,115
2016-W4,45-49,261
2016-W4,50-54,482
2016-W4,55-59,702
2016-W4,60-64,945
2016-W4,65-69,1244
2016-W4,70-74,1638
2016-W4,75-79,2855
2016-W4,80-84,3136
2016-W4,85-89,3570
2016-W4,90-94,2572
2016-W4,95+,901
2016-W4,Insgesamt,18707
2016-W40,0-29,156
2016-W40,30-34,53
2016-W40,35-39,60
2016-W40,40-44,98
2016-W40,45-49,260
2016-W40,50-54,453
2016-W40,55-59,695
2016-W40,60-64,853
2016-W40,65-69,1127
2016-W40,70-74,1371
2016-W40,75-79,2502
2016-W40,80-84,2774
2016-W40,85-89,2982
2016-W40,90-94,2148
2016-W40,95+,820
2016-W40,Insgesamt,16352
2016-W41,0-29,192
2016-W41,30-34,48
2016-W41,35-39,59
2016-W41,40-44,106
2016-W41,45-49,260
2016-W41,50-54,426
2016-W41,55-59,681
2016-W41,60-64,882
2016-W41,65-69,1190
2016-W41,70-74,1456
2016-W41,75-79,2618
2016-W41,80-84,3000
2016-W41,85-89,3272
2016-W41,90-94,2350
2016-W41,95+,887
2016-W41,Insgesamt,17427
2016-W42,0-29,149
2016-W42,30-34,61
2016-W42,35-39,76
2016-W42,40-44,112
2016-W42,45-49,206
2016-W42,50-54,467
2016-W42,55-59,668
2016-W42,60-64,880
2016-W42,65-69,1158
2016-W42,70-74,1482
2016-W42,75-79,2705
2016-W42,80-84,3049
2016-W42,85-89,3329
2016-W42,90-94,2371
2016-W42,95+,886
2016-W42,Insgesamt,17599
2016-W43,0-29,126
2016-W43,30-34,66
2016-W43,35-39,69
2016-W43,40-44,114
2016-W43,45-49,226
2016-W43,50-54,436
2016-W43,55-59,713
2016-W43,60-64,905
2016-W43,65-69,1200
2016-W43,70-74,1407
2016-W43,75-79,2673
2016-W43,80-84,3082
2016-W43,85-89,3309
2016-W43,90-94,2391
2016-W43,95+,869
2016-W43,Insgesamt,17586
2016-W44,0-29,156
2016-W44,30-34,58
2016-W44,35-39,84
2016-W44,40-44,119
2016-W44,45-49,241
2016-W44,50-54,442
2016-W44,55-59,649
2016-W44,60-64,911
2016-W44,65-69,1134
2016-W44,70-74,1494
2016-W44,75-79,2625
2016-W44,80-84,3127
2016-W44,85-89,3203
2016-W44,90-94,2413
2016-W44,95+,924
2016-W44,Insgesamt,17580
2016-W45,0-29,161
2016-W45,30-34,52
2016-W45,35-39,53
2016-W45,40-44,109
2016-W45,45-49,227
2016-W45,50-54,465
2016-W45,55-59,668
2016-W45,60-64,933
2016-W45,65-69,1228
2016-W45,70-74,1425
2016-W45,75-79,2699
2016-W45,80-84,3041
2016-W45,85-89,3381
2016-W45,90-94,2406
2016-W45,95+,934
2016-W45,Insgesamt,17782
2016-W46,0-29,182
2016-W46,30-34,51
2016-W46,35-39,72
2016-W46,40-44,104
2016-W46,45-49,232
2016-W46,50-54,422
2016-W46,55-59,695
2016-W46,60-64,945
2016-W46,65-69,1196
2016-W46,70-74,1526
2016-W46,75-79,2845
2016-W46,80-84,3268
2016-W46,85-89,3582
2016-W46,90-94,2540
2016-W46,95+,931
2016-W46,Insgesamt,18591
2016-W47,0-29,150
2016-W47,30-34,40
2016-W47,35-39,70
2016-W47,40-44,131
2016-W47,45-49,239
2016-W47,50-54,412
2016-W47,55-59,656
2016-W47,60-64,884
2016-W47,65-69,1113
2016-W47,70-74,1467
2016-W47,75-79,2745
2016-W47,80-84,3146
2016-W47,85-89,3422
2016-W47,90-94,2452
2016-W47,95+,984
2016-W47,Insgesamt,17911
2016-W48,0-29,149
2016-W48,30-34,47
2016-W48,35-39,88
2016-W48,40-44,107
2016-W48,45-49,247
2016-W48,50-54,488
2016-W48,55-59,732
2016-W48,60-64,900
2016-W48,65-69,1210
2016-W48,70-74,1441
2016-W48,75-79,2707
2016-W48,80-84,3197
2016-W48,85-89,3487
2016-W48,90-94,2436
2016-W48,95+,910
2016-W48,Insgesamt,18146
2016-W49,0-29,149
2016-W49,30-34,54
2016-W49,35-39,73
2016-W49,40-44,137
2016-W49,45-49,217
2016-W49,50-54,457
2016-W49,55-59,721
2016-W49,60-64,916
2016-W49,65-69,1210
2016-W49,70-74,1560
2016-W49,75-79,2859
2016-W49,80-84,3261
2016-W49,85-89,3625
2016-W49,90-94,2623
2016-W49,95+,931
2016-W49,Insgesamt,18793
2016-W5,0-29,157
2016-W5,30-34,70
2016-W5,35-39,70
2016-W5,40-44,131
2016-W5,45-49,266
2016-W5,50-54,496
2016-W5,55-59,668
2016-W5,60-64,943
2016-W5,65-69,1207
2016-W5,70-74,1670
2016-W5,75-79,2852
2016-W5,80-84,3124
2016-W5,85-89,3554
2016-W5,90-94,2426
2016-W5,95+,859
2016-W5,Insgesamt,18493
2016-W50,0-29,166
2016-W50,30-34,45
2016-W50,35-39,77
2016-W50,40-44,110
2016-W50,45-49,246
2016-W50,50-54,442
2016-W50,55-59,645
2016-W50,60-64,933
2016-W50,65-69,1248
2016-W50,70-74,1564
2016-W50,75-79,2901
2016-W50,80-84,3252
2016-W50,85-89,3609
2016-W50,90-94,2613
2016-W50,95+,1034
2016-W50,Insgesamt,18885
2016-W51,0-29,149
2016-W51,30-34,42
2016-W51,35-39,71
2016-W51,40-44,105
2016-W51,45-49,271
2016-W51,50-54,452
2016-W51,55-59,673
2016-W51,60-64,974
2016-W51,65-69,1286
2016-W51,70-74,1553
2016-W51,75-79,2995
2016-W51,80-84,3463
2016-W51,85-89,3649
2016-W51,90-94,2665
2016-W51,95+,1028
2016-W51,Insgesamt,19376
2016-W52,0-29,157
2016-W52,30-34,50
2016-W52,35-39,69
2016-W52,40-44,106
2016-W52,45-49,245
2016-W52,50-54,435
2016-W52,55-59,677
2016-W52,60-64,934
2016-W52,65-69,1284
2016-W52,70-74,1643
2016-W52,75-79,2915
2016-W52,80-84,3460
2016-W52,85-89,3802
2016-W52,90-94,2884
2016-W52,95+,1083
2016-W52,Insgesamt,19744
2016-W53,0-29,
2016-W53,30-34,
2016-W53,35-39,
2016-W53,40-44,
2016-W53,45-49,
2016-W53,50-54,
2016-W53,55-59,
2016-W53,60-64,
2016-W53,65-69,
2016-W53,70-74,
2016-W53,75-79,
2016-W53,80-84,
2016-W53,85-89,
2016-W53,90-94,
2016-W53,95+,
2016-W53,Insgesamt,
2016-W6,0-29,165
2016-W6,30-34,52
2016-W6,35-39,72
2016-W6,40-44,116
2016-W6,45-49,256
2016-W6,50-54,518
2016-W6,55-59,765
2016-W6,60-64,983
2016-W6,65-69,1210
2016-W6,70-74,1600
2016-W6,75-79,2740
2016-W6,80-84,3116
2016-W6,85-89,3600
2016-W6,90-94,2481
2016-W6,95+,867
2016-W6,Insgesamt,18541
2016-W7,0-29,146
2016-W7,30-34,67
2016-W7,35-39,66
2016-W7,40-44,106
2016-W7,45-49,256
2016-W7,50-54,468
2016-W7,55-59,726
2016-W7,60-64,955
2016-W7,65-69,1233
2016-W7,70-74,1662
2016-W7,75-79,2812
2016-W7,80-84,3200
2016-W7,85-89,3397
2016-W7,90-94,2528
2016-W7,95+,861
2016-W7,Insgesamt,18483
2016-W8,0-29,153
2016-W8,30-34,49
2016-W8,35-39,62
2016-W8,40-44,118
2016-W8,45-49,257
2016-W8,50-54,479
2016-W8,55-59,715
2016-W8,60-64,1008
2016-W8,65-69,1188
2016-W8,70-74,1610
2016-W8,75-79,2810
2016-W8,80-84,3112
2016-W8,85-89,3518
2016-W8,90-94,2528
2016-W8,95+,868
2016-W8,Insgesamt,18475
2016-W9,0-29,160
2016-W9,30-34,47
2016-W9,35-39,72
2016-W9,40-44,112
2016-W9,45-49,271
2016-W9,50-54,457
2016-W9,55-59,698
2016-W9,60-64,1037
2016-W9,65-69,1218
2016-W9,70-74,1715
2016-W9,75-79,2876
2016-W9,80-84,3239
2016-W9,85-89,3597
2016-W9,90-94,2556
2016-W9,95+,871
2016-W9,Insgesamt,18926
2017-W1,0-29,166
2017-W1,30-34,41
2017-W1,35-39,75
2017-W1,40-44,124
2017-W1,45-49,260
2017-W1,50-54,468
2017-W1,55-59,775
2017-W1,60-64,1000
2017-W1,65-69,1294
2017-W1,70-74,1626
2017-W1,75-79,3119
2017-W1,80-84,3646
2017-W1,85-89,4068
2017-W1,90-94,3070
2017-W1,95+,1186
2017-W1,Insgesamt,20918
2017-W10,0-29,156
2017-W10,30-34,56
2017-W10,35-39,81
2017-W10,40-44,101
2017-W10,45-49,230
2017-W10,50-54,472
2017-W10,55-59,696
2017-W10,60-64,897
2017-W10,65-69,1243
2017-W10,70-74,1566
2017-W10,75-79,2799
2017-W10,80-84,3348
2017-W10,85-89,3678
2017-W10,90-94,2658
2017-W10,95+,1121
2017-W10,Insgesamt,19102
2017-W11,0-29,169
2017-W11,30-34,51
2017-W11,35-39,67
2017-W11,40-44,114
2017-W11,45-49,233
2017-W11,50-54,434
2017-W11,55-59,700
2017-W11,60-64,943
2017-W11,65-69,1206
2017-W11,70-74,1486
2017-W11,75-79,2872
2017-W11,80-84,3283
2017-W11,85-89,3417
2017-W11,90-94,2680
2017-W11,95+,1010
2017-W11,Insgesamt,18665
2017-W12,0-29,137
2017-W12,30-34,57
2017-W12,35-39,63
2017-W12,40-44,94
2017-W12,45-49,240
2017-W12,50-54,433
2017-W12,55-59,685
2017-W12,60-64,887
2017-W12,65-69,1189
2017-W12,70-74,1406
2017-W12,75-79,2705
2017-W12,80-84,3105
2017-W12,85-89,3316
2017-W12,90-94,2371
2017-W12,95+,952
2017-W12,Insgesamt,17640
2017-W13,0-29,145
2017-W13,30-34,51
2017-W13,35-39,79
2017-W13,40-44,87
2017-W13,45-49,231
2017-W13,50-54,455
2017-W13,55-59,669
2017-W13,60-64,838
2017-W13,65-69,1197
2017-W13,70-74,1400
2017-W13,75-79,2739
2017-W13,80-84,3145
2017-W13,85-89,3379
2017-W13,90-94,2388
2017-W13,95+,928
2017-W13,Insgesamt,17731
2017-W14,0-29,152
2017-W14,30-34,56
2017-W14,35-39,66
2017-W14,40-44,79
2017-W14,45-49,220
2017-W14,50-54,430
2017-W14,55-59,655
2017-W14,60-64,879
2017-W14,65-69,1160
2017-W14,70-74,1442
2017-W14,75-79,2585
2017-W14,80-84,2943
2017-W14,85-89,3191
2017-W14,90-94,2298
2017-W14,95+,872
2017-W14,Insgesamt,17028
2017-W15,0-29,138
2017-W15,30-34,63
2017-W15,35-39,70
2017-W15,40-44,102
2017-W15,45-49,249
2017-W15,50-54,398
2017-W15,55-59,701
2017-W15,60-64,906
2017-W15,65-69,1109
2017-W15,70-74,1379
2017-W15,75-79,2582
2017-W15,80-84,2994
2017-W15,85-89,3081
2017-W15,90-94,2229
2017-W15,95+,900
2017-W15,Insgesamt,16901
2017-W16,0-29,166
2017-W16,30-34,56
2017-W16,35-39,62
2017-W16,40-44,85
2017-W16,45-49,213
2017-W16,50-54,405
2017-W16,55-59,653
2017-W16,60-64,851
2017-W16,65-69,1104
2017-W16,70-74,1434
2017-W16,75-79,2584
2017-W16,80-84,2872
2017-W16,85-89,3067
2017-W16,90-94,2284
2017-W16,95+,801
2017-W16,Insgesamt,16637
2017-W17,0-29,148
2017-W17,30-34,59
2017-W17,35-39,68
2017-W17,40-44,112
2017-W17,45-49,254
2017-W17,50-54,439
2017-W17,55-59,687
2017-W17,60-64,1010
2017-W17,65-69,1125
2017-W17,70-74,1561
2017-W17,75-79,2609
2017-W17,80-84,3099
2017-W17,85-89,3193
2017-W17,90-94,2354
2017-W17,95+,916
2017-W17,Insgesamt,17634
2017-W18,0-29,151
2017-W18,30-34,44
2017-W18,35-39,78
2017-W18,40-44,119
2017-W18,45-49,243
2017-W18,50-54,454
2017-W18,55-59,639
2017-W18,60-64,924
2017-W18,65-69,1205
2017-W18,70-74,1383
2017-W18,75-79,2595
2017-W18,80-84,2955
2017-W18,85-89,3162
2017-W18,90-94,2283
2017-W18,95+,894
2017-W18,Insgesamt,17129
2017-W19,0-29,128
2017-W19,30-34,61
2017-W19,35-39,95
2017-W19,40-44,114
2017-W19,45-49,223
2017-W19,50-54,431
2017-W19,55-59,669
2017-W19,60-64,934
2017-W19,65-69,1180
2017-W19,70-74,1439
2017-W19,75-79,2658
2017-W19,80-84,3084
2017-W19,85-89,3118
2017-W19,90-94,2323
2017-W19,95+,886
2017-W19,Insgesamt,17343
2017-W2,0-29,171
2017-W2,30-34,64
2017-W2,35-39,66
2017-W2,40-44,118
2017-W2,45-49,245
2017-W2,50-54,493
2017-W2,55-59,739
2017-W2,60-64,1020
2017-W2,65-69,1375
2017-W2,70-74,1754
2017-W2,75-79,3227
2017-W2,80-84,3873
2017-W2,85-89,4289
2017-W2,90-94,3392
2017-W2,95+,1244
2017-W2,Insgesamt,22070
2017-W20,0-29,156
2017-W20,30-34,51
2017-W20,35-39,71
2017-W20,40-44,99
2017-W20,45-49,231
2017-W20,50-54,460
2017-W20,55-59,658
2017-W20,60-64,866
2017-W20,65-69,1195
2017-W20,70-74,1383
2017-W20,75-79,2539
2017-W20,80-84,3026
2017-W20,85-89,3228
2017-W20,90-94,2257
2017-W20,95+,859
2017-W20,Insgesamt,17079
2017-W21,0-29,160
2017-W21,30-34,62
2017-W21,35-39,82
2017-W21,40-44,98
2017-W21,45-49,203
2017-W21,50-54,459
2017-W21,55-59,630
2017-W21,60-64,873
2017-W21,65-69,1164
2017-W21,70-74,1342
2017-W21,75-79,2449
2017-W21,80-84,2947
2017-W21,85-89,3005
2017-W21,90-94,2117
2017-W21,95+,860
2017-W21,Insgesamt,16451
2017-W22,0-29,140
2017-W22,30-34,52
2017-W22,35-39,80
2017-W22,40-44,100
2017-W22,45-49,225
2017-W22,50-54,452
2017-W22,55-59,675
2017-W22,60-64,894
2017-W22,65-69,1128
2017-W22,70-74,1403
2017-W22,75-79,2559
2017-W22,80-84,2999
2017-W22,85-89,3097
2017-W22,90-94,2216
2017-W22,95+,882
2017-W22,Insgesamt,16902
2017-W23,0-29,161
2017-W23,30-34,62
2017-W23,35-39,69
2017-W23,40-44,94
2017-W23,45-49,232
2017-W23,50-54,435
2017-W23,55-59,666
2017-W23,60-64,866
2017-W23,65-69,1097
2017-W23,70-74,1283
2017-W23,75-79,2331
2017-W23,80-84,2795
2017-W23,85-89,2885
2017-W23,90-94,2031
2017-W23,95+,839
2017-W23,Insgesamt,15846
2017-W24,0-29,142
2017-W24,30-34,50
2017-W24,35-39,66
2017-W24,40-44,114
2017-W24,45-49,216
2017-W24,50-54,419
2017-W24,55-59,662
2017-W24,60-64,849
2017-W24,65-69,1114
2017-W24,70-74,1261
2017-W24,75-79,2465
2017-W24,80-84,2806
2017-W24,85-89,2873
2017-W24,90-94,2238
2017-W24,95+,812
2017-W24,Insgesamt,16087
2017-W25,0-29,160
2017-W25,30-34,65
2017-W25,35-39,62
2017-W25,40-44,105
2017-W25,45-49,249
2017-W25,50-54,428
2017-W25,55-59,675
2017-W25,60-64,935
2017-W25,65-69,1186
2017-W25,70-74,1390
2017-W25,75-79,2504
2017-W25,80-84,2973
2017-W25,85-89,2931
2017-W25,90-94,2304
2017-W25,95+,852
2017-W25,Insgesamt,16819
2017-W26,0-29,153
2017-W26,30-34,52
2017-W26,35-39,72
2017-W26,40-44,95
2017-W26,45-49,194
2017-W26,50-54,381
2017-W26,55-59,658
2017-W26,60-64,855
2017-W26,65-69,1154
2017-W26,70-74,1326
2017-W26,75-79,2467
2017-W26,80-84,2803
2017-W26,85-89,2925
2017-W26,90-94,2130
2017-W26,95+,811
2017-W26,Insgesamt,16076
2017-W27,0-29,148
2017-W27,30-34,59
2017-W27,35-39,66
2017-W27,40-44,99
2017-W27,45-49,232
2017-W27,50-54,432
2017-W27,55-59,642
2017-W27,60-64,854
2017-W27,65-69,1159
2017-W27,70-74,1377
2017-W27,75-79,2436
2017-W27,80-84,2938
2017-W27,85-89,3022
2017-W27,90-94,2140
2017-W27,95+,820
2017-W27,Insgesamt,16424
2017-W28,0-29,138
2017-W28,30-34,50
2017-W28,35-39,58
2017-W28,40-44,98
2017-W28,45-49,207
2017-W28,50-54,427
2017-W28,55-59,609
2017-W28,60-64,895
2017-W28,65-69,1126
2017-W28,70-74,1287
2017-W28,75-79,2369
2017-W28,80-84,2761
2017-W28,85-89,2807
2017-W28,90-94,1975
2017-W28,95+,796
2017-W28,Insgesamt,15603
2017-W29,0-29,130
2017-W29,30-34,43
2017-W29,35-39,67
2017-W29,40-44,98
2017-W29,45-49,206
2017-W29,50-54,405
2017-W29,55-59,689
2017-W29,60-64,893
2017-W29,65-69,1222
2017-W29,70-74,1386
2017-W29,75-79,2536
2017-W29,80-84,2894
2017-W29,85-89,3046
2017-W29,90-94,2087
2017-W29,95+,887
2017-W29,Insgesamt,16589
2017-W3,0-29,157
2017-W3,30-34,47
2017-W3,35-39,67
2017-W3,40-44,85
2017-W3,45-49,251
2017-W3,50-54,460
2017-W3,55-59,756
2017-W3,60-64,1021
2017-W3,65-69,1333
2017-W3,70-74,1697
2017-W3,75-79,3156
2017-W3,80-84,3652
2017-W3,85-89,4116
2017-W3,90-94,3147
2017-W3,95+,1291
2017-W3,Insgesamt,21236
2017-W30,0-29,148
2017-W30,30-34,53
2017-W30,35-39,64
2017-W30,40-44,100
2017-W30,45-49,217
2017-W30,50-54,419
2017-W30,55-59,659
2017-W30,60-64,873
2017-W30,65-69,1109
2017-W30,70-74,1326
2017-W30,75-79,2474
2017-W30,80-84,2826
2017-W30,85-89,2939
2017-W30,90-94,2069
2017-W30,95+,782
2017-W30,Insgesamt,16058
2017-W31,0-29,132
2017-W31,30-34,62
2017-W31,35-39,75
2017-W31,40-44,116
2017-W31,45-49,218
2017-W31,50-54,427
2017-W31,55-59,646
2017-W31,60-64,919
2017-W31,65-69,1187
2017-W31,70-74,1330
2017-W31,75-79,2491
2017-W31,80-84,2851
2017-W31,85-89,3023
2017-W31,90-94,2110
2017-W31,95+,907
2017-W31,Insgesamt,16494
2017-W32,0-29,155
2017-W32,30-34,46
2017-W32,35-39,64
2017-W32,40-44,100
2017-W32,45-49,226
2017-W32,50-54,362
2017-W32,55-59,641
2017-W32,60-64,854
2017-W32,65-69,1117
2017-W32,70-74,1324
2017-W32,75-79,2388
2017-W32,80-84,2760
2017-W32,85-89,2827
2017-W32,90-94,2071
2017-W32,95+,849
2017-W32,Insgesamt,15784
2017-W33,0-29,160
2017-W33,30-34,48
2017-W33,35-39,76
2017-W33,40-44,110
2017-W33,45-49,216
2017-W33,50-54,429
2017-W33,55-59,589
2017-W33,60-64,913
2017-W33,65-69,1201
2017-W33,70-74,1330
2017-W33,75-79,2380
2017-W33,80-84,2867
2017-W33,85-89,2898
2017-W33,90-94,2065
2017-W33,95+,866
2017-W33,Insgesamt,16148
2017-W34,0-29,129
2017-W34,30-34,57
2017-W34,35-39,61
2017-W34,40-44,99
2017-W34,45-49,197
2017-W34,50-54,430
2017-W34,55-59,619
2017-W34,60-64,886
2017-W34,65-69,1132
2017-W34,70-74,1320
2017-W34,75-79,2313
2017-W34,80-84,2754
2017-W34,85-89,2948
2017-W34,90-94,2133
2017-W34,95+,802
2017-W34,Insgesamt,15880
2017-W35,0-29,146
2017-W35,30-34,40
2017-W35,35-39,69
2017-W35,40-44,107
2017-W35,45-49,203
2017-W35,50-54,406
2017-W35,55-59,644
2017-W35,60-64,844
2017-W35,65-69,1141
2017-W35,70-74,1306
2017-W35,75-79,2329
2017-W35,80-84,2945
2017-W35,85-89,2953
2017-W35,90-94,2089
2017-W35,95+,842
2017-W35,Insgesamt,16064
2017-W36,0-29,127
2017-W36,30-34,56
2017-W36,35-39,81
2017-W36,40-44,88
2017-W36,45-49,216
2017-W36,50-54,426
2017-W36,55-59,661
2017-W36,60-64,821
2017-W36,65-69,1112
2017-W36,70-74,1305
2017-W36,75-79,2354
2017-W36,80-84,2779
2017-W36,85-89,2837
2017-W36,90-94,2004
2017-W36,95+,839
2017-W36,Insgesamt,15706
2017-W37,0-29,147
2017-W37,30-34,40
2017-W37,35-39,64
2017-W37,40-44,103
2017-W37,45-49,222
2017-W37,50-54,438
2017-W37,55-59,606
2017-W37,60-64,817
2017-W37,65-69,1184
2017-W37,70-74,1352
2017-W37,75-79,2528
2017-W37,80-84,2870
2017-W37,85-89,2934
2017-W37,90-94,2059
2017-W37,95+,782
2017-W37,Insgesamt,16146
2017-W38,0-29,153
2017-W38,30-34,63
2017-W38,35-39,79
2017-W38,40-44,99
2017-W38,45-49,248
2017-W38,50-54,431
2017-W38,55-59,591
2017-W38,60-64,892
2017-W38,65-69,1104
2017-W38,70-74,1400
2017-W38,75-79,2474
2017-W38,80-84,2900
2017-W38,85-89,3019
2017-W38,90-94,2181
2017-W38,95+,871
2017-W38,Insgesamt,16505
2017-W39,0-29,151
2017-W39,30-34,47
2017-W39,35-39,62
2017-W39,40-44,92
2017-W39,45-49,226
2017-W39,50-54,383
2017-W39,55-59,673
2017-W39,60-64,830
2017-W39,65-69,1135
